Table,,,,,,,,
"Crime Severity Index values for 325 police services1,2 policing communities over 10,000 population3, 2020",,,,,,,,
,,,,,,,,
Respondent Code,Police Service,Population,Overall Crime Severity Index,,Violent Crime Severity Index,,Non-violent Crime Severity Index,
48775,"Stony Plain, Alta., RCMP, Rural"," 42,742 ",113.14,44,95.99,79,119.03,39
59904,"Nanaimo, B.C., RCMP, Municipal"," 101,731 ",111.5,45,98.94,76,115.76,44
48930,"Hinton, Alta., RCMP, Municipal"," 10,308 ",110.75,46,106.05,64,112.19,47
47063,"Regina, Sask., Municipal"," 238,503 ",110.41,47,135.65,36,101.07,60
48756,"Wood Buffalo, Alta., RCMP, Municipal"," 71,187 ",110.3,48,105.23,67,111.87,48
24561,"La Tuque, Que., SQ"," 11,689 ",109.92,49,245.12,11,61.03,148
48904,"Sylvan Lake, Alta., RCMP, Municipal"," 16,351 ",109.39,50,91.57,91,115.55,45
47083,"Weyburn, Sask., Municipal"," 11,040 ",108.47,51,73.99,126,120.62,37
59711,"Richmond, B.C., RCMP, Municipal"," 216,046 ",108.41,52,55.4,200,127.22,31
47017,"Estevan, Sask., Municipal"," 11,620 ",108.27,53,78.53,116,118.72,40
35212,"Owen Sound, Ont., Municipal"," 22,657 ",107.11,54,133.16,39,97.48,63
35197,"North Bay, Ont., Municipal"," 57,791 ",105.85,55,102.59,70,106.78,53
35331,"Windsor, Ont., Municipal"," 258,668 ",104.98,56,105.6,66,104.51,58
35046,"Brockville, Ont., Municipal"," 22,583 ",104.85,57,121.41,48,98.65,62
59023,"Vancouver, B.C., Municipal"," 698,946 ",104.67,58,99.81,74,106.18,55
47045,"Moose Jaw, Sask., Municipal"," 34,687 ",104.28,59,69.76,140,116.44,43
35076,"Cornwall, Ont., Municipal"," 48,846 ",103.49,60,137.02,35,91.19,75
59873,"Powell River, B.C., RCMP, Municipal"," 13,865 ",103.25,61,92.63,88,106.83,52
59906,"North Cowichan, B.C., RCMP, Municipal"," 32,475 ",102,62,93.36,84,104.87,57
35217,"Upper Ottawa Valley (Pembroke), Ont., OPP, Municipal"," 14,205 ",101.61,63,129.66,42,91.28,74
59817,"Parksville, B.C., RCMP, Municipal"," 13,685 ",101.43,64,52.71,215,118.71,41
59734,"Mission, B.C., RCMP, Municipal"," 42,855 ",99.62,65,110.3,60,95.55,69
35299,"Thunder Bay, Ont., Municipal"," 118,739 ",98.03,66,159.74,23,75.6,104
35465,"Orillia, Ont., OPP, Municipal"," 33,806 ",97.48,67,151.19,27,77.94,101
47906,"Swift Current, Sask., RCMP, Municipal"," 17,321 ",97.43,68,92.62,89,98.93,61
13007,"Fredericton, N.B., Municipal"," 64,650 ",95.8,69,93.33,85,96.47,67
59704,"Surrey, B.C., RCMP, Municipal"," 598,664 ",95.66,70,92.64,87,96.52,66
59863,"Sechelt, B.C., RCMP, Municipal"," 10,872 ",95.5,71,95.39,80,95.32,70
48844,"Fort Vermilion, Alta., RCMP, Rural"," 15,440 ",95.34,72,177.59,16,65.53,131
13015,"Miramichi, N.B., Municipal"," 17,787 ",94.95,73,61.88,165,106.62,54
48798,"Leduc, Alta., RCMP, Municipal"," 34,216 ",94.35,74,100.26,72,92,72
48015,"Camrose, Alta., Municipal"," 19,333 ",92.24,75,65.07,152,101.8,59
48796,"Stony Plain, Alta., RCMP, Municipal"," 18,762 ",91.93,76,76.25,119,97.35,64
59727,"Maple Ridge, B.C., RCMP, Municipal"," 91,774 ",91.9,77,91.43,92,91.86,73
13001,"Bathurst, N.B., Municipal"," 12,172 ",91.61,78,132.09,40,76.83,102
59880,"White Rock, B.C., RCMP, Municipal"," 20,922 ",90.9,79,75.66,121,96.17,68
12052,"Truro, N.S., Municipal"," 12,935 ",90.22,80,98.05,77,87.19,79
35042,"Brantford, Ont., Municipal"," 108,164 ",89.4,81,112.95,57,80.72,94
59792,"Cranbrook, B.C., RCMP, Municipal"," 21,502 ",88.49,82,112.39,58,79.68,96
35290,"Greater Sudbury, Ont., Municipal"," 168,927 ",87.83,83,112.08,59,78.91,99
24549,"Vallée-de-l'Or Region, Que., SQ"," 42,141 ",86.95,84,173.22,18,55.72,167
48713,"Cochrane, Alta., RCMP, Rural"," 27,363 ",86.39,85,108.59,61,78.21,100
59870,"Squamish, B.C., RCMP, Municipal"," 21,761 ",86.25,86,86.4,101,85.99,81
48847,"Grande Prairie, Alta., RCMP, Rural"," 22,094 ",85.75,87,72.93,129,90.16,77
35049,"Hawkesbury, Ont., OPP, Municipal"," 10,595 ",85.45,88,85.8,102,85.12,85
59879,"University, B.C., RCMP, Rural"," 17,981 ",85.16,89,52.55,217,96.69,65
46816,"Steinbach, Man., RCMP, Municipal"," 18,721 ",84.5,90,67.28,148,90.49,76
13048,"Tracadie Sheila, N.B., RCMP, Rural"," 16,865 ",84.48,91,122.88,45,70.46,116
59011,"Nelson, B.C., Municipal"," 11,557 ",83.8,92,59.11,183,92.49,71
59012,"New Westminster, B.C., Municipal"," 82,590 ",82.27,93,79.9,112,82.93,86
35162,"London, Ont., Municipal"," 430,828 ",80.99,94,75.55,122,82.76,89
35151,"Kingston, Ont., Municipal"," 135,707 ",80.95,95,79.09,113,81.43,93
59706,"North Vancouver City, B.C., RCMP, Municipal"," 59,630 ",80.76,96,62.87,159,87.01,80
48795,"Spruce Grove, Alta., RCMP, Municipal"," 38,951 ",80.68,97,67.78,146,85.13,84
59731,"Langley Township, B.C., RCMP, Municipal"," 133,951 ",80.29,98,59.38,177,87.62,78
35219,"Temiskaming (Temiskaming Shores), Ont., OPP, Municipal"," 10,076 ",80.23,99,114.84,54,67.59,123
48800,"Fort Saskatchewan, Alta., RCMP, Municipal"," 27,772 ",80.09,100,71.9,131,82.85,88
48014,"Calgary, Alta., Municipal"," 1,361,852 ",79.96,101,78.26,118,80.38,95
35009,"Chatham-Kent, Ont., Municipal"," 106,216 ",79.02,102,60.31,172,85.56,82
35177,"Southern Georgian Bay (Midland), Ont., OPP, Municipal"," 18,307 ",78.83,103,91.02,93,74.26,105
48062,"Medicine Hat, Alta., Municipal"," 65,527 ",78.78,104,67.6,147,82.61,90
24547,"Abitibi Region, Que., SQ"," 24,252 ",78.26,105,133.9,38,58.06,158
48708,"Brooks, Alta., RCMP, Municipal"," 15,805 ",78.14,106,103.97,69,68.66,121
35261,"Sarnia, Ont., Municipal"," 75,630 ",76.92,107,89.25,96,72.31,110
35143,"East Algoma (Elliot Lake), Ont., OPP, Municipal"," 11,264 ",76.66,108,105.15,68,66.24,127
59703,"Burnaby, B.C., RCMP, Municipal"," 257,926 ",76.53,109,60.51,170,82.12,91
35013,"Woodstock, Ont., Municipal"," 46,522 ",75.88,110,49.27,232,85.27,83
59776,"Salmon Arm, B.C., RCMP, Municipal"," 19,296 ",74.58,111,54.99,203,81.45,92
48790,"Morinville, Alta., RCMP, Rural"," 26,451 ",74.53,112,50.79,225,82.89,87
35291,"Waterloo Region (Kitchener), Ont., Municipal"," 605,232 ",74.5,113,84.77,103,70.63,114
24576,"Argenteuil Region, Que., SQ"," 33,733 ",74.27,114,106.82,62,62.39,140
35284,"Sudbury (West Nipissing), Ont., OPP, Municipal"," 14,955 ",74.19,115,78.45,117,72.48,109
35156,"Essex County (Leamington), Ont., OPP, Municipal"," 29,701 ",74.02,116,59.24,181,79.17,97
59027,"West Kelowna, B.C., RCMP, Municipal"," 36,496 ",73.49,117,57.3,189,79.14,98
35222,"Peterborough, Ont., Municipal"," 99,007 ",72.86,118,99.3,75,63.18,136
12720,"Kings County, N.S., RCMP, Rural"," 56,363 ",71.69,119,78.94,114,68.91,120
35027,"Belleville, Ont., Municipal"," 56,117 ",71.39,120,74.73,125,70.02,117
59009,"Abbotsford, B.C., Municipal"," 161,708 ",71.29,121,80.06,111,67.97,122
35240,"Saugeen Shores, Ont., Municipal"," 15,297 ",70.98,122,82.68,108,66.6,125
35157,"Kawartha Lakes, Ont., Municipal"," 28,371 ",70.68,123,70.51,136,70.58,115
48767,"Strathcona County, Alta., RCMP, Rural"," 28,893 ",70.54,124,97.24,78,60.78,149
10043,"Grand Falls-Windsor, N.L., RCMP, Rural"," 24,742 ",70.3,125,68.22,142,70.89,113
35097,"Lennox and Addington County (Greater Napanee), Ont., OPP, Municipal"," 16,779 ",69.29,126,88.6,97,62.18,142
10042,"Gander, N.L., RCMP, Rural"," 13,412 ",68.29,127,55.15,202,72.86,107
24594,"Sept-Rivières Region, Que., SQ"," 31,719 ",68.24,128,106.01,65,54.5,171
11002,"Charlottetown, P.E.I., Municipal"," 41,881 ",68.06,129,64.87,153,69.05,119
48729,"Canmore, Alta., RCMP, Municipal"," 14,798 ",67.9,130,52.15,218,73.41,106
48019,"Blackfalds, Alta., RCMP, Municipal"," 11,974 ",67.67,131,56.46,193,71.54,112
12745,"West Hants, N.S., RCMP, Rural"," 19,309 ",67.45,132,71.34,133,65.89,129
48903,"Strathmore, Alta., RCMP, Municipal"," 14,645 ",67.37,133,61.06,167,69.49,118
35145,"South Bruce (Brockton), Ont., OPP, Municipal"," 10,008 ",67.3,134,70.73,135,65.91,128
24175,"Montréal, Que., Municipal"," 2,069,849 ",67.29,135,92.11,90,58.2,157
35258,"St. Thomas, Ont., Municipal"," 42,609 ",67.15,136,41.83,256,76.1,103
13062,"Caledonia Region, N.B., RCMP, Rural"," 28,235 ",66.93,137,52.63,216,71.91,111
59708,"Port Coquitlam, B.C., RCMP, Municipal"," 63,508 ",66.92,138,50.91,224,72.52,108
24601,"Domaine-du-Roy Region, Que., SQ"," 29,118 ",66.77,139,123.32,44,46.28,193
35125,"Hamilton, Ont., Municipal"," 581,722 ",66.03,140,93.53,83,55.98,166
24578,"Laurentides Region, Que., SQ"," 38,405 ",65.35,141,74.74,124,61.82,146
46805,"Selkirk, Man., RCMP, Rural"," 20,445 ",65.31,142,68.07,143,64.16,135
10500,"St. John's, N.L., RNC, Municipal"," 209,163 ",64.25,143,83.35,106,57.22,161
35481,"Exeter (South Huron), Ont., OPP, Municipal"," 10,664 ",64.15,144,66.5,149,63.15,137
12723,"Queens County, N.S., RCMP, Rural"," 10,402 ",64.06,145,62.05,164,64.63,132
35123,"Guelph, Ont., Municipal"," 145,379 ",63.06,146,66.23,151,61.77,147
24283,"Mont-Tremblant, Que., Municipal"," 10,490 ",62.45,147,62.58,162,62.26,141
12099,"Halifax Metropolitain Area, N.S."," 448,518 ",61.88,148,83.83,105,53.84,172
59741,"Summerland, B.C., RCMP, Municipal"," 12,642 ",61.52,149,47.12,240,66.55,126
59784,"Whistler, B.C., RCMP, Municipal"," 13,948 ",61.4,150,53.15,212,64.22,134
48768,"Strathcona, Alta., RCMP, Municipal"," 74,294 ",61.18,151,45.17,245,66.8,124
24453,"Pays-d'en-Haut Region, Que., SQ"," 45,380 ",61.14,152,83.17,107,53.07,174
48052,"Lacombe, Alta., Municipal"," 14,109 ",60.51,153,55.85,197,62.05,145
59844,"Langford, B.C., RCMP, Municipal"," 44,069 ",60.44,154,62.84,160,59.44,151
59818,"Pitt Meadows, B.C., RCMP, Municipal"," 19,717 ",60.41,155,53.56,209,62.73,139
59899,"Saltspring Island, B.C., RCMP, Rural"," 11,329 ",60.2,156,106.79,63,43.3,210
24275,"St. Jérôme, Que., Municipal"," 79,784 ",59.9,157,95.28,81,47.03,189
13027,"Saint John, N.B., Municipal"," 71,364 ",59.87,158,87.55,100,49.77,182
59748,"Lake Country, B.C., RCMP, Municipal"," 15,654 ",59.79,159,46.63,243,64.38,133
24544,"Antoine-Labelle Region, Que., SQ"," 35,865 ",59.71,160,81.07,110,51.88,176
35281,"Stratford, Ont., Municipal"," 45,492 ",59.6,161,49.73,230,63.01,138
35071,"Cobourg, Ont., Municipal"," 21,696 ",59.23,162,60.19,173,58.75,154
59705,"Coquitlam, B.C., RCMP, Municipal"," 152,795 ",59,163,50,229,62.09,144
24521,"Beauharnois-Salaberry Region, Que., SQ"," 54,453 ",58.92,164,94.46,82,46,195
48720,"High River, Alta., RCMP, Municipal"," 14,434 ",58.66,165,64.12,157,56.56,165
59864,"View Royal, B.C., RCMP, Municipal"," 11,829 ",58.62,166,56.03,195,59.41,152
35196,"Niagara Region (St. Catharines), Ont., Municipal"," 481,727 ",58.13,167,56.61,191,58.54,156
35304,"Toronto, Ont., Municipal"," 2,988,408 ",57.84,168,90.41,95,45.99,196
35140,"Lanark County (Carleton Place), Ont., OPP, Municipal"," 11,751 ",57.69,169,83.93,104,48.12,186
35139,"Oxford (Ingersoll), Ont., OPP, Municipal"," 14,133 ",57.62,170,59.09,184,56.95,162
12704,"Lunenburg County, N.S., RCMP, Rural"," 39,336 ",57.44,171,57.6,186,57.24,160
12018,"Cape Breton Region, N.S., Municipal"," 96,943 ",57.26,172,70.87,134,52.24,175
48897,"Morinville, Alta., RCMP, Municipal"," 10,571 ",57.12,173,57.67,185,56.79,163
59004,"Delta, B.C., Municipal"," 112,259 ",57.04,174,46.26,244,60.78,149
35159,"Quinte West, Ont., OPP, Municipal"," 45,198 ",56.01,175,69.87,139,50.9,177
46799,"Oakbank Area, Man., RCMP, Rural"," 25,208 ",55.11,176,25.03,302,65.81,130
35106,"Oxford (Tillsonburg), Ont., OPP, Municipal"," 17,484 ",54.99,177,44,248,58.81,153
59020,"Sooke, B.C., RCMP, Municipal"," 15,083 ",54.89,178,47.44,239,57.44,159
24216,"Gatineau, Que., Municipal"," 290,239 ",54.86,179,76.25,119,47.04,188
35282,"Strathroy-Caradoc, Ont., Municipal"," 23,037 ",54.58,180,48.68,235,56.57,164
24526,"Drummond Region, Que., SQ"," 108,288 ",54.44,181,81.64,109,44.53,202
10502,"Corner Brook, N.L., RNC, Municipal"," 19,455 ",53.84,182,73.93,127,46.48,191
59026,"West Vancouver, B.C., Municipal"," 47,068 ",53.58,183,38.95,265,58.72,155
24255,"Kahnawake First Nations, Que."," 10,188 ",53.57,184,116.02,52,30.98,276
24551,"Rouyn-Noranda, Que., SQ"," 43,115 ",52.62,185,78.8,115,43.08,211
35021,"Barrie, Ont., Municipal"," 153,411 ",52.44,186,59.53,176,49.77,182
24600,"Maria-Chapdelaine Region, Que., SQ"," 24,518 ",52.41,187,67.93,144,46.7,190
12782,"Enfield (East Hants), N.S., RCMP, Rural"," 23,225 ",52,188,56.03,195,50.43,179
13006,"Edmundston, N.B., Municipal"," 16,841 ",51.91,189,60.96,168,48.53,185
35264,"Bracebridge (Gravenhurst), Ont., OPP, Municipal"," 13,317 ",51.83,190,41.58,258,55.39,168
24254,"Shawinigan Region, Que., SQ"," 55,897 ",51.45,191,88.32,98,38.07,235
48770,"St. Albert, Alta., RCMP, Municipal"," 69,335 ",51.15,192,41.01,262,54.67,170
48899,"Airdrie, Alta., RCMP, Municipal"," 75,707 ",50.35,193,41.25,260,53.5,173
35088,"West Grey, Ont., Municipal"," 13,182 ",49.8,194,60.76,169,45.73,198
24057,"Châteauguay, Que., Municipal"," 69,189 ",49.76,195,93.23,86,34.01,263
24323,"Sherbrooke, Que., Municipal"," 171,158 ",49.53,196,73.75,128,40.7,226
35010,"Ottawa, Ont., Municipal"," 1,043,130 ",49.05,197,56.38,194,46.3,192
24563,"Matawinie Region, Que., SQ"," 51,335 ",48.86,198,59.8,174,44.81,201
35252,"Grey Bruce (Meaford), Ont., OPP, Municipal"," 11,769 ",48.48,199,87.97,99,34.16,259
24237,"Trois-Rivières, Que., Municipal"," 140,420 ",48.31,200,75.13,123,38.56,233
48704,"Beaumont, Alta., RCMP, Municipal"," 21,385 ",48.25,201,63.32,158,42.71,213
24558,"D'Autray Region, Que., SQ"," 44,120 ",48.18,202,69.52,141,40.39,227
59925,"Sidney, B.C., RCMP, Municipal"," 12,312 ",47.77,203,47.79,238,47.65,187
46033,"Morden, Man., Municipal"," 10,223 ",47.69,204,26.85,298,55.07,169
24215,"Québec, Que., Municipal"," 587,035 ",47.68,205,64.42,155,41.55,221
24334,"Thetford Mines, Que., Municipal"," 25,773 ",47.58,206,72.43,130,38.53,234
35276,"Huronia West (Wasaga Beach), Ont., OPP, Municipal"," 23,706 ",47.58,206,53.84,207,45.22,199
24231,"Longueuil, Que., Municipal"," 435,671 ",47.39,208,59.26,180,43.01,212
59019,"Saanich, B.C., Municipal"," 125,107 ",47.08,209,39.27,264,49.78,181
35190,"Russell County/Hawkesbury (The Nation), Ont., OPP, Municipal"," 13,672 ",46.58,210,34.4,279,50.85,178
35070,"Norfolk County, Ont., OPP, Municipal"," 70,028 ",46.56,211,35.93,275,50.28,180
35142,"Haldimand County, Ont., OPP, Municipal"," 49,980 ",46.2,212,51.56,221,44.16,206
35293,"Hawkesbury (Alfred and Plantagenet), Ont., OPP, Municipal"," 10,495 ",46.15,213,51.44,222,44.14,207
24519,"Pierre-De Saurel Region, Que., SQ"," 51,833 ",46.14,214,64.82,154,39.31,230
35269,"Huntsville (Huntsville), Ont., OPP, Municipal"," 21,855 ",45.92,215,57.56,187,41.62,220
59819,"Colwood, B.C., RCMP, Municipal"," 19,373 ",45.91,216,57.45,188,41.65,219
35201,"Middlesex (Thames Centre), Ont., OPP, Municipal"," 14,117 ",45.63,217,57.03,190,41.43,222
24141,"Laval, Que., Municipal"," 442,648 ",45.43,218,67.81,145,37.26,242
35235,"Port Hope, Ont., Municipal"," 13,543 ",45.02,219,70.43,138,35.77,251
24241,"Saguenay, Que., Municipal"," 149,053 ",44.43,220,62.77,161,37.73,237
24276,"Joliette Region, Que., SQ"," 70,396 ",44.35,221,59.29,179,38.87,232
24588,"Manicouagan Region, Que., SQ"," 27,834 ",44.21,222,70.51,136,34.65,257
24257,"St. Eustache, Que., Municipal"," 45,518 ",44.05,223,54.1,206,40.33,228
35270,"Huronia West (Clearview), Ont., OPP, Municipal"," 15,032 ",43.76,224,71.38,132,33.73,266
24523,"Bécancour Region, Que., SQ"," 20,864 ",43.75,225,66.43,150,35.5,252
35491,"Collingwood, Ont., OPP, Municipal"," 24,669 ",43.6,226,41.64,257,44.2,204
48005,"Chestermere, Alta., RCMP, Municipal"," 22,744 ",43.19,227,40.14,263,44.19,205
35016,"Northumberland (Brighton), Ont., OPP, Municipal"," 12,631 ",42.76,228,47.07,241,41.11,223
35204,"Dufferin (Orangeville), Ont., OPP, Municipal"," 30,828 ",42.71,229,43.84,249,42.2,215
35482,"South Bruce (Kincardine), Ont., OPP, Municipal"," 12,371 ",42.59,230,32.24,284,46.21,194
48900,"Cochrane, Alta., RCMP, Municipal"," 32,010 ",42.59,230,37.16,270,44.44,203
24516,"Maskoutains Region, Que., SQ"," 89,783 ",42.38,232,59.65,175,36.07,248
24573,"Montcalm Region, Que., SQ"," 66,709 ",42.18,233,59.22,182,35.95,250
59926,"Comox, B.C., RCMP, Municipal"," 15,182 ",42.09,234,23.08,309,48.83,184
35069,"Perth County (North Perth), Ont., OPP, Municipal"," 15,359 ",42,235,41.03,261,42.25,214
24267,"Thérèse-de-Blainville, Que., Municipal"," 77,506 ",41.94,236,55.25,201,37.06,247
24630,"Côte-de-Gaspé Region, Que., SQ"," 17,429 ",41.81,237,41.56,259,41.8,218
46061,"Winkler, Man., Municipal"," 14,303 ",41.81,237,54.25,205,37.23,243
24597,"Lac-Saint-Jean-Est Region, Que., SQ"," 53,107 ",41.53,239,52.86,213,37.36,239
24533,"Arthabaska Region, Que., SQ"," 74,480 ",41.31,240,64.14,156,32.99,270
59707,"North Vancouver District, B.C., RCMP, Municipal"," 92,326 ",40.99,241,26.95,297,45.94,197
24610,"Beauce-Sartigan Region, Que., SQ"," 53,956 ",40.65,242,61.8,166,32.95,271
35206,"Durham Region (Oshawa/Whitby/Ajax), Ont., Municipal"," 711,426 ",40.65,242,49.18,233,37.48,238
35267,"Bracebridge (Bracebridge), Ont., OPP, Municipal"," 17,452 ",40.51,244,31.52,287,43.65,209
46808,"Steinbach, Man., RCMP, Rural"," 26,468 ",40.12,245,37.34,269,41.03,224
24618,"Montmagny Region, Que., SQ"," 22,528 ",39.92,246,60.33,171,32.49,273
35656,"Russell County (Rockland), Ont., OPP, Rural"," 26,680 ",39.72,247,55.42,199,33.98,264
24157,"Magog, Que., Municipal"," 36,641 ",39.64,248,44.07,247,37.96,236
24508,"Brome-Missisquoi Region, Que., SQ"," 52,794 ",39.59,249,54.52,204,34.12,260
35259,"Orillia (Severn), Ont., OPP, Rural"," 14,996 ",39.58,250,27.26,295,43.92,208
59016,"Port Moody, B.C., Municipal"," 35,151 ",39.5,251,32.12,285,42.06,216
35090,"Lambton (St. Clair/Lambton Shores), Ont., OPP, Municipal"," 52,565 ",39.01,252,37.15,271,39.59,229
35335,"York Region, Ont., Municipal"," 1,199,995 ",39.01,252,43.71,251,37.23,243
59044,"Esquimalt Division, B.C., Municipal"," 19,015 ",38.92,254,43.75,250,37.09,246
24102,"Granby, Que., Municipal"," 69,366 ",38.73,255,53.18,211,33.45,268
35089,"Stormont/Dundas/Glengarry, Ont., OPP, Municipal"," 68,473 ",38.69,256,42.81,255,37.11,245
35109,"Brant County, Ont., OPP, Municipal"," 37,564 ",38.68,257,21.29,313,44.85,200
24635,"Matane Region, Que., SQ"," 20,836 ",38.1,258,59.38,177,30.35,277
24273,"Mirabel, Que., Municipal"," 77,216 ",38.05,259,48.89,234,34.07,261
35275,"South Simcoe (Innisfil), Ont., Municipal"," 84,884 ",37.14,260,43.05,253,34.92,253
35041,"Peel Region (Mississauga/Brampton), Ont., Municipal"," 1,487,579 ",36.99,261,51.89,220,31.54,275
35138,"Grey Bruce (Georgian Bluffs), Ont., OPP, Municipal"," 11,175 ",36.51,262,24.61,304,40.71,225
24514,"Rouville Region, Que., SQ"," 27,676 ",36.48,263,56.52,192,29.19,280
48723,"Okotoks, Alta., RCMP, Rural"," 13,061 ",36.23,264,20.18,315,41.91,217
35034,"Leeds County (Rideau Lakes), Ont., OPP, Municipal"," 10,951 ",35.41,265,53.25,210,28.91,283
24272,"Saint-Jean-sur-Richelieu, Que., Municipal"," 98,957 ",35.34,266,55.76,198,27.91,289
35105,"Elgin County, Ont., OPP, Municipal"," 45,524 ",35.31,267,33.05,282,36.03,249
24621,"Rivière-du-Loup Region, Que., SQ"," 34,915 ",35.11,268,44.71,246,31.57,274
35073,"Wellington County, Ont., OPP, Municipal"," 98,268 ",35.05,269,38.13,267,33.86,265
24047,"Roussillon Region, Que., Municipal"," 114,433 ",34.85,270,48.56,236,29.84,279
24264,"Rivière-du-Nord Region, Que., SQ"," 41,691 ",34.79,271,46.93,242,30.34,278
48906,"Okotoks, Alta., RCMP, Municipal"," 32,539 ",34.6,272,33.49,281,34.92,253
35077,"Prince Edward, Ont., OPP, Municipal"," 25,841 ",34.54,273,52.14,219,28.13,287
24165,"Mascouche, Que., Municipal"," 50,499 ",34.39,274,50.52,226,28.51,285
35110,"Northumberland (Trent Hills), Ont., OPP, Municipal"," 13,213 ",34.07,275,36.11,274,33.25,269
35179,"Russell County (Russell), Ont., OPP, Municipal"," 19,215 ",33.83,276,18.67,318,39.2,231
35183,"Middlesex, Ont., OPP, Municipal"," 36,727 ",33.73,277,31.29,291,34.52,258
59816,"Coldstream, B.C., RCMP, Municipal"," 11,609 ",33.68,278,23.38,305,37.3,240
47956,"Warman, Sask., RCMP, Municipal"," 14,502 ",33.55,279,53.75,208,26.21,302
